0;V;Lo stregone tira su questa tabella all'inizio di ogni suo turno per il minuto successivo, ignorando questo risultato ai tiri successivi.
1;V;Per il minuto successivo, lo stregone è in grado di vedere qualsiasi creatura invisibile, se dispone di linea di vista fino a essa.
2;V;Un modron scelto e controllato dal DM compare in uno spazio libero a 1,5 metri dallo stregone, poi scompare 1 minuto dopo.
3;V;Un modron scelto e controllato dal DM compare in uno spazio libero a 1,5 metri dallo stregone, poi scompare 1 minuto dopo.
4;V;Lo stregone lancia Dardo Incantato come incantesimo di 5° livello.
5;V;Lo stregone tira un d10. La sua alteza cambia di una misura pari a 2,5 cm x il risultato ottenuto. Se il risultato è dispari, si rimpicciolisce. Se è pari, cresce.
6;V;Lo stregone lancia Confusione centrato su sé stesso.
7;V;Per il minuto successivo, lo stregone recupera 5 punti ferita all'inizio di ogni suo turno.
8;V;Lo stregone sviluppa una lunga barba fatta di piume che rimane finché non starnutisce. Quando questo accade, le piume schizzano via dal suo volto in un'esplosione innocua.
9;V;Lo stregone lancia unto centrato su se stesso.
10;V;Le creature subiscono svantaggio ai tiri salvezza contro il prossimo incantesimo che sia lanciato dallo stregone nel minuto successivo e che richieda un tiro salvezza.
11;V;La pelle dello stregone si tinge di una vivace tonalità di azzurro. Un incantesimo rimuovi maledizione può porre termine a questo effetto.
12;V;Un occhio appare sulla fronte dello stregone per il minuto successivo. Durante quel periodo, lo stregone dispone di vantaggio alle prove di Saggezza (Percezione) basate sulla vista.